Huawei, P20 Lite, Android, Smartphone, 15x7x0.1, 192.0, Huawei_P20_Lite.png
Xiaomi, Redmi Note 7, Android, Smartphone, 16x8x0.1, 179.0, Xiaomi_Redmi_Note_7.png
Samsung, Galaxy J6 2018, Android, Smartphone, 16x8x0.1, 159.0, Samsung_Galaxy_J6_2018.png
Xiaomi, Mi A2 Lite, Android, Smartphone, 15x7x0.1, 144.0, Xiaomi_Mi_A2_Lite.png
Samsung, Galaxy A40 2019, Android, Smartphone, 14x7x0.1, 205.0, Samsung_Galaxy_A40_2019.png
Samsung, Galaxy A50 2019, Android, Smartphone, 16x7x0.1, 284.0, Samsung_Galaxy_A50_2019.png
Huawei, P Smart 2019, Android, Smartphone, 16x7x0.1, 179.0, Huawei_P_Smart_2019.png
Huawei, Mate 20 Lite, Android, Smartphone, 16x8x0.1, 214.0, Huawei_Mate_20_Lite.png
Samsung, Galaxy S10, Android, Smartphone, 15x7x0.1, 689.0, Samsung_Galaxy_S10.png
Apple, iPhone XS Max, iOS, Smartphone, 16x8x0.1, 960.0, Apple_iPhone_XS_Max.png
Nokia, 3310 2017, Nokia Series 30 plus, phone, 11x5x1, 76.0, Nokia_3310_2017.png
Nokia, 105 2017, Nokia Series 30 plus, phone, 11x5x1, 25.0, Nokia_105_2017.png
